Record #,Time,Ch 101 (VDC),Ch 102 (VDC),Alarm Output,Signature
131072,52:51.2,-5.75E-07,4.99862,0,JPXPM
131073,52:51.9,-3.34E-07,4.998581,0,UXILX
131074,52:52.7,-1.54E-07,4.998564,0,IaWPP
131075,52:53.4,-3.16E-07,4.998553,0,cbNCH
131076,52:54.1,-3.16E-07,4.998542,0,UVUNR
131077,52:54.9,-3.77E-07,4.998522,0,XZKRD
131078,52:55.6,-3.95E-07,4.99867,0,LLRHF
131079,52:56.3,-3.82E-07,4.998647,0,YaGGR
131080,52:57.0,-4.00E-07,4.998621,0,bTQGG
131081,52:57.8,-3.97E-07,4.998619,0,TPVTF
131082,52:58.5,-5.88E-07,4.998588,0,cHKFO
131083,52:59.2,-3.88E-07,4.998541,0,RGYPZ
131084,53:00.0,-3.44E-07,4.998536,0,bIUCO
131085,53:00.7,-5.60E-07,4.998535,0,RFKWZ
131086,53:01.4,-3.83E-07,4.998531,0,SSPOD
131087,53:02.2,-5.89E-07,4.998665,0,FHBDZ
131088,53:02.9,-3.21E-07,4.998636,0,aTXLA
131089,53:03.6,-4.89E-07,4.998605,0,aBZJR
131090,53:04.3,-4.16E-07,4.998603,0,cFJED
131091,53:05.1,-3.29E-07,4.998584,0,ZQDZR
131092,53:05.8,-3.39E-07,4.998556,0,XXaTU
131093,53:06.5,-5.38E-07,4.998539,0,FKELU
131094,53:07.3,-4.77E-07,4.99853,0,DFRaG
131095,53:08.0,-3.91E-07,4.998619,0,UYAFF
131096,53:08.7,-5.16E-07,4.998636,0,LbPXH
131097,53:09.5,-3.81E-07,4.998629,0,CCNDD
131098,53:10.2,-3.51E-07,4.99859,0,FOLEH
131099,53:10.9,-2.77E-07,4.998583,0,NBGYb
131100,53:11.6,-3.84E-07,4.998578,0,VODOI
131101,53:12.4,-5.50E-07,4.99857,0,aMaVA
131102,53:13.1,-3.78E-07,4.998541,0,KTAWV
131103,53:13.8,-4.10E-07,4.998514,0,GNROc
131104,53:14.6,-3.81E-07,4.99864,0,EBcAK
131105,53:15.3,-2.72E-07,4.998701,0,LcOGC
131106,53:16.0,-5.31E-07,4.998694,0,XBUDW
131107,53:16.8,-4.77E-07,4.998643,0,PcNAJ
131108,53:17.5,-3.40E-07,4.998621,0,NFNRO
131109,53:18.2,-3.97E-07,4.998587,0,JNIVI
131110,53:18.9,-7.53E-07,4.998575,0,NFGUE
131111,53:19.7,-4.12E-07,4.998566,0,ULYCT
131112,53:20.4,-3.12E-07,4.998533,0,QULYc
131113,53:21.1,-4.06E-07,4.998535,0,DKNMX
131114,53:21.9,-5.37E-07,4.998502,0,bcKSD
131115,53:22.6,-5.85E-07,4.998665,0,aZKNV
131116,53:23.3,-4.55E-07,4.998668,0,DTcBK
131117,53:24.1,-4.92E-07,4.998619,0,AUJGV
131118,53:24.8,-4.77E-07,4.998581,0,THQDa
131119,53:25.5,-3.20E-07,4.998559,0,QQGAD
131120,53:26.2,-5.72E-07,4.998549,0,SRNNK
131121,53:27.0,-4.96E-07,4.998531,0,WZWRW
131122,53:27.7,-3.93E-07,4.998517,0,VXWJJ
131123,53:28.4,-4.57E-07,4.998516,0,YAFOb
131124,53:29.2,-4.54E-07,4.998685,0,BHKFF
131125,53:29.9,-6.95E-07,4.998663,0,CGDaD
131126,53:30.6,-5.87E-07,4.99866,0,DHXcD
131127,53:31.4,-3.37E-07,4.99863,0,HGWHV
131128,53:32.1,-4.72E-07,4.998584,0,HFZXH
131129,53:32.8,-4.69E-07,4.998601,0,RQNPT
131130,53:33.5,-5.98E-07,4.998577,0,MUHbI
131131,53:34.3,-5.17E-07,4.998572,0,cRZZK
131132,53:35.0,-2.87E-07,4.998525,0,NGQHV
131133,53:35.7,-3.81E-07,4.998499,0,IKOYA
131134,53:36.5,-4.63E-07,4.998521,0,YXFLK
131135,53:37.2,-5.54E-07,4.998682,0,WRGPb
131136,53:37.9,-4.91E-07,4.998642,0,ORPAR
131137,53:38.7,-4.47E-07,4.998611,0,VXScB
131138,53:39.4,-3.78E-07,4.99859,0,cDAHV
131139,53:40.1,-4.41E-07,4.998586,0,HJKUK
131140,53:40.8,-5.94E-07,4.998568,0,NcNLD
131141,53:41.6,-5.20E-07,4.998539,0,EFPXH
131142,53:42.3,-4.61E-07,4.998512,0,ZFZKV
131143,53:43.0,-6.26E-07,4.998498,0,GBXON
131144,53:43.8,-7.64E-07,4.998625,0,GQVXK
131145,53:44.5,-8.33E-07,4.998613,0,FFJcP
131146,53:45.2,-3.66E-07,4.998585,0,VFXDH
131147,53:46.0,-3.92E-07,4.998527,0,cbRZL
131148,53:46.7,-5.80E-07,4.998543,0,YQcNP
131149,53:47.4,-6.05E-07,4.998523,0,ARBZa
131150,53:48.1,-5.20E-07,4.998505,0,BRHZb
131151,53:48.9,-4.12E-07,4.998631,0,LHLYO
131152,53:49.6,-4.20E-07,4.998675,0,MbKAT
131153,53:50.3,-4.98E-07,4.998652,0,YScLK
131154,53:51.1,-5.00E-07,4.998647,0,CUWaD
131155,53:51.8,-4.91E-07,4.998629,0,VHJSI
131156,53:52.5,-3.78E-07,4.998589,0,AQDHO
131157,53:53.3,-3.00E-07,4.998567,0,QWHCZ
131158,53:54.0,-4.27E-07,4.998565,0,DXUcQ
131159,53:54.7,-4.04E-07,4.998534,0,PVTbL
131160,53:55.4,-3.82E-07,4.998519,0,AaaCW
131161,53:56.2,-4.25E-07,4.998487,0,YDaaO
131162,53:56.9,-5.93E-07,4.998649,0,WLYFb
131163,53:57.6,-5.88E-07,4.998633,0,NONXZ
131164,53:58.4,-4.39E-07,4.998637,0,COcbK
131165,53:59.1,-4.62E-07,4.998599,0,DGREU
131166,53:59.8,-7.03E-07,4.998564,0,cIFcB
131167,54:00.6,-5.63E-07,4.998549,0,MZNbG
131168,54:01.3,-5.99E-07,4.998546,0,VDFTa
131169,54:02.0,-4.08E-07,4.998537,0,XDSTX
131170,54:02.7,-5.95E-07,4.998507,0,OQJED
131171,54:03.5,-6.37E-07,4.998672,0,HaaKH
131172,54:04.2,-3.78E-07,4.998672,0,LQUcT
131173,54:04.9,-5.26E-07,4.998634,0,HAWAO
131174,54:05.7,-4.00E-07,4.998628,0,LaRQZ
131175,54:06.4,-4.21E-07,4.998603,0,HUFEH
131176,54:07.1,-6.16E-07,4.998581,0,NQKaH
131177,54:07.9,-6.23E-07,4.998566,0,BMIbb
131178,54:08.6,-4.76E-07,4.998552,0,aRLJR
131179,54:09.3,-4.98E-07,4.998541,0,QLHaG
131180,54:10.0,-4.12E-07,4.998666,0,acWMP
131181,54:10.8,-6.51E-07,4.998651,0,TGHXI
131182,54:11.5,-3.94E-07,4.998622,0,BBGNa
131183,54:12.2,-5.94E-07,4.998605,0,ROaSa
131184,54:13.0,-4.99E-07,4.998616,0,WRBUJ
131185,54:13.7,-2.77E-07,4.998571,0,DHcRc
131186,54:14.4,-6.63E-07,4.998551,0,QaYDF
