Record #,Time,Ch 101 (VDC),Ch 102 (VDC),Alarm Output,Signature
262144,27:34.0,-4.31E-07,4.998755,0,JYVRR
262145,27:34.7,-4.87E-07,4.998763,0,ScQRX
262146,27:35.4,-6.00E-07,4.998755,0,GDTZR
262147,27:36.2,-5.15E-07,4.998713,0,OJBVH
262148,27:36.9,-7.66E-07,4.998688,0,GXHaB
262149,27:37.6,-6.06E-07,4.998681,0,JYOOF
262150,27:38.4,-6.38E-07,4.998641,0,HMaOV
262151,27:39.1,-6.17E-07,4.998652,0,BGMIH
262152,27:39.8,-3.46E-07,4.998639,0,CcaWQ
262153,27:40.6,-5.80E-07,4.998608,0,ALVDI
262154,27:41.3,-4.78E-07,4.998669,0,ADUIJ
262155,27:42.0,-5.48E-07,4.998764,0,LbPDV
262156,27:42.7,-6.32E-07,4.99876,0,KDcAa
262157,27:43.5,-7.43E-07,4.998722,0,YOVbZ
262158,27:44.2,-7.62E-07,4.9987,0,ZNZXW
262159,27:44.9,-7.34E-07,4.998685,0,ObGbW
262160,27:45.7,-6.69E-07,4.998662,0,cGNPF
262161,27:46.4,-5.44E-07,4.998661,0,FOMNH
262162,27:47.1,-7.42E-07,4.99866,0,RXIPU
262163,27:47.9,-6.50E-07,4.998633,0,YaVAG
262164,27:48.6,-5.34E-07,4.99875,0,BZQHX
262165,27:49.3,-4.78E-07,4.998747,0,FTXHT
262166,27:50.0,-6.54E-07,4.998731,0,XORXQ
262167,27:50.8,-5.85E-07,4.998716,0,SbaVc
262168,27:51.5,-6.31E-07,4.998694,0,JFVRX
262169,27:52.2,-6.21E-07,4.998699,0,NMRAS
262170,27:53.0,-4.51E-07,4.998675,0,XAKGL
262171,27:53.7,-7.29E-07,4.998663,0,HbDcU
262172,27:54.4,-6.71E-07,4.998633,0,HKFPP
262173,27:55.2,-6.54E-07,4.998626,0,KHAXA
262174,27:55.9,-4.73E-07,4.998776,0,RVcPD
262175,27:56.6,-4.71E-07,4.998775,0,FYWXE
262176,27:57.3,-4.41E-07,4.998734,0,acQTR
262177,27:58.1,-5.26E-07,4.998731,0,bDUZG
262178,27:58.8,-7.74E-07,4.998693,0,HBCOD
262179,27:59.5,-5.42E-07,4.998675,0,UZILV
262180,28:00.3,-6.68E-07,4.99867,0,VWTAb
262181,28:01.0,-7.75E-07,4.99866,0,bJcDT
262182,28:01.7,-6.25E-07,4.998645,0,MDTVb
262183,28:02.5,-7.32E-07,4.998628,0,OAPcF
262184,28:03.2,-6.08E-07,4.998811,0,IYXbY
262185,28:03.9,-6.75E-07,4.998792,0,MDccc
262186,28:04.6,-6.40E-07,4.99878,0,VYUbY
262187,28:05.4,-6.45E-07,4.998747,0,TDUHc
262188,28:06.1,-6.19E-07,4.998736,0,ROFKQ
262189,28:06.8,-7.07E-07,4.998716,0,cDPEI
262190,28:07.6,-8.52E-07,4.998703,0,XaKRA
262191,28:08.3,-6.75E-07,4.998683,0,CKPPF
262192,28:09.0,-5.20E-07,4.998663,0,OHSDO
262193,28:09.8,-5.81E-07,4.998654,0,XOVWH
262194,28:10.5,-5.24E-07,4.998638,0,QRIMJ
262195,28:11.2,-5.40E-07,4.998642,0,cKFNK
262196,28:11.9,-6.89E-07,4.998662,0,IJOGS
262197,28:12.7,-6.05E-07,4.998796,0,VcObW
262198,28:13.4,-6.15E-07,4.998773,0,PDSOL
262199,28:14.1,-6.79E-07,4.99876,0,KNYOB
262200,28:14.9,-5.14E-07,4.998747,0,cGTQU
