Record #,Time,Ch 101 (VDC),Ch 102 (VDC),Alarm Output,Signature
196608,10:12.6,-6.86E-07,4.998406,0,RObRQ
196609,10:13.4,-6.56E-07,4.998389,0,OBaHD
196610,10:14.1,-6.94E-07,4.99838,0,VNcJM
196611,10:14.8,-8.57E-07,4.998368,0,LMGNH
196612,10:15.6,-6.91E-07,4.998332,0,EBFNJ
196613,10:16.3,-5.69E-07,4.998337,0,DMBca
196614,10:17.0,-5.20E-07,4.9983,0,YZBFD
196615,10:17.7,-8.03E-07,4.998293,0,cMPcZ
196616,10:18.5,-6.88E-07,4.998273,0,RFMFK
196617,10:19.2,-7.71E-07,4.998259,0,OOBDB
196618,10:19.9,-7.43E-07,4.998417,0,aJUab
196619,10:20.7,-7.37E-07,4.998418,0,BTbIX
196620,10:21.4,-9.24E-07,4.998399,0,AZIIA
196621,10:22.1,-7.76E-07,4.998376,0,QJXFO
196622,10:22.9,-6.65E-07,4.998361,0,HKNVJ
196623,10:23.6,-8.15E-07,4.998334,0,cQPVb
196624,10:24.3,-6.97E-07,4.99833,0,XRbbM
196625,10:25.0,-6.66E-07,4.998353,0,STNXQ
196626,10:25.8,-5.73E-07,4.998295,0,JXVHR
196627,10:26.5,-7.43E-07,4.998282,0,NFRRE
196628,10:27.2,-6.36E-07,4.998295,0,cPBHD
196629,10:28.0,-6.36E-07,4.998304,0,KHABD
196630,10:28.7,-5.99E-07,4.998273,0,DVRVV
196631,10:29.4,-8.82E-07,4.99848,0,MJPAY
196632,10:30.2,-4.73E-07,4.998441,0,CSFDJ
196633,10:30.9,-8.09E-07,4.998436,0,BKaAJ
196634,10:31.6,-5.77E-07,4.998439,0,OKJVE
196635,10:32.3,-6.31E-07,4.998428,0,TJVVM
196636,10:33.1,-6.00E-07,4.998397,0,XDNIX
196637,10:33.8,-6.45E-07,4.998399,0,FHaXG
196638,10:34.5,-7.63E-07,4.998365,0,cLMVD
196639,10:35.3,-7.70E-07,4.998351,0,QRcGF
196640,10:36.0,-7.71E-07,4.998334,0,JRGOJ
196641,10:36.7,-4.64E-07,4.998333,0,FZEbA
196642,10:37.5,-6.30E-07,4.998293,0,OPScc
196643,10:38.2,-7.24E-07,4.998312,0,FVIMT
196644,10:38.9,-8.81E-07,4.998302,0,QRPAE
196645,10:39.6,-6.43E-07,4.998285,0,XWHZE
196646,10:40.4,-7.18E-07,4.998293,0,GPbOH
196647,10:41.1,-7.60E-07,4.99842,0,JBOIT
196648,10:41.8,-7.35E-07,4.998413,0,CRPcX
196649,10:42.6,-5.43E-07,4.998387,0,CVUDD
196650,10:43.3,-5.99E-07,4.99839,0,bJKJR
196651,10:44.0,-6.92E-07,4.99836,0,QbZEU
196652,10:44.8,-7.43E-07,4.998348,0,RROcP
196653,10:45.5,-6.89E-07,4.998341,0,FVQQT
196654,10:46.2,-8.78E-07,4.998319,0,OXaMU
196655,10:46.9,-5.86E-07,4.998313,0,WEZQN
196656,10:47.7,-6.55E-07,4.998296,0,GaOOF
196657,10:48.4,-5.96E-07,4.998291,0,LPcCP
196658,10:49.1,-6.98E-07,4.998296,0,HaRDZ
196659,10:49.9,-6.56E-07,4.998494,0,WbNKN
196660,10:50.6,-7.13E-07,4.998462,0,BTaEV
196661,10:51.3,-6.11E-07,4.998427,0,AFcHD
196662,10:52.1,-7.35E-07,4.998403,0,DGcOc
196663,10:52.8,-5.46E-07,4.998395,0,MDSKc
196664,10:53.5,-6.67E-07,4.998397,0,PDGDc
196665,10:54.2,-7.09E-07,4.998355,0,PPDOX
196666,10:55.0,-5.95E-07,4.998328,0,DTNVR
196667,10:55.7,-6.13E-07,4.998313,0,HQLXa
196668,10:56.4,-5.87E-07,4.998312,0,HQNRN
196669,10:57.2,-8.17E-07,4.998291,0,CGNOK
196670,10:57.9,-6.01E-07,4.998268,0,FOabD
196671,10:58.6,-6.21E-07,4.99825,0,DXSOK
196672,10:59.4,-7.62E-07,4.998349,0,GTRaO
196673,11:00.1,-5.29E-07,4.998419,0,RBVDA
196674,11:00.8,-6.39E-07,4.998424,0,QcHUL
196675,11:01.5,-8.23E-07,4.998388,0,AXaaG
196676,11:02.3,-6.02E-07,4.998371,0,DRCRV
