Record #,Time,Ch 101 (VDC),Ch 102 (VDC),Alarm Output,Signature
196677,11:03.0,-5.67E-07,4.99837,0,FOLaU
196678,11:03.7,-9.85E-07,4.998334,0,LbUZO
196679,11:04.5,-6.08E-07,4.998327,0,FBcPW
196680,11:05.2,-6.11E-07,4.998293,0,TVQbc
196681,11:05.9,-7.50E-07,4.998298,0,DcAcQ
196682,11:06.7,-6.36E-07,4.998288,0,DBHRU
196683,11:07.4,-5.74E-07,4.998289,0,ZIKGa
196684,11:08.1,-9.63E-07,4.998263,0,FLNAV
196685,11:08.8,-5.51E-07,4.998249,0,FPbGR
196686,11:09.6,-7.72E-07,4.99842,0,QcGXO
196687,11:10.3,-6.43E-07,4.998429,0,OKUNX
196688,11:11.0,-8.46E-07,4.998414,0,cMbAM
196689,11:11.8,-6.71E-07,4.998393,0,VcTGK
196690,11:12.5,-8.38E-07,4.99837,0,DJDAV
196691,11:13.2,-7.72E-07,4.998364,0,NFBXD
196692,11:14.0,-5.91E-07,4.998377,0,QKGDR
196693,11:14.7,-6.50E-07,4.998353,0,XONIB
196694,11:15.4,-5.90E-07,4.99834,0,PDFRW
196695,11:16.1,-5.16E-07,4.998302,0,EADDT
196696,11:16.9,-9.39E-07,4.998293,0,OKcBV
196697,11:17.6,-7.80E-07,4.998277,0,VCOBH
196698,11:18.3,-8.41E-07,4.998274,0,QRAVL
196699,11:19.1,-8.15E-07,4.998263,0,HLAGN
196700,11:19.8,-7.83E-07,4.998433,0,MObMN
196701,11:20.5,-7.66E-07,4.998435,0,NXLXK
196702,11:21.3,-6.97E-07,4.998441,0,aORZR
196703,11:22.0,-7.00E-07,4.998425,0,EaRGF
196704,11:22.7,-7.30E-07,4.998398,0,DGTST
196705,11:23.4,-8.68E-07,4.998363,0,AMTVB
196706,11:24.2,-7.25E-07,4.998364,0,YMcDV
196707,11:24.9,-7.71E-07,4.998347,0,RAQJR
196708,11:25.6,-7.17E-07,4.998336,0,YTFLH
196709,11:26.4,-7.44E-07,4.998328,0,XSbaM
196710,11:27.1,-8.05E-07,4.998304,0,EIHRN
196711,11:27.8,-9.45E-07,4.998287,0,IPRNa
196712,11:28.6,-5.60E-07,4.998281,0,YRTDR
196713,11:29.3,-7.16E-07,4.998408,0,DHLIJ
196714,11:30.0,-6.04E-07,4.998399,0,JRJVa
196715,11:30.7,-6.02E-07,4.998376,0,RKaLa
196716,11:31.5,-6.07E-07,4.998367,0,XZFPT
196717,11:32.2,-7.37E-07,4.998349,0,FLMYW
196718,11:32.9,-4.44E-07,4.998334,0,PGRFU
196719,11:33.7,-6.54E-07,4.998315,0,EGRQY
196720,11:34.4,-6.11E-07,4.998315,0,GKRFF
196721,11:35.1,-7.11E-07,4.998292,0,OIAbD
196722,11:35.9,-6.28E-07,4.998281,0,TGZba
196723,11:36.6,-6.75E-07,4.998259,0,XVRMA
196724,11:37.3,-6.28E-07,4.998336,0,HVAFS
196725,11:38.0,-7.02E-07,4.998388,0,INSAP
196726,11:38.8,-6.53E-07,4.998382,0,NNbcc
196727,11:39.5,-8.36E-07,4.998383,0,UJHVb
196728,11:40.2,-7.55E-07,4.99836,0,MQXVb
196729,11:41.0,-6.83E-07,4.99834,0,ERbIa
196730,11:41.7,-9.43E-07,4.998288,0,KLaDX
196731,11:42.4,-7.35E-07,4.998296,0,bOKRR
196732,11:43.2,-7.80E-07,4.998291,0,OAVMR
196733,11:43.9,-7.63E-07,4.998268,0,QTXQT
196734,11:44.6,-6.11E-07,4.998259,0,AKMHX
196735,11:45.3,-7.56E-07,4.998258,0,WIGcb
196736,11:46.1,-6.19E-07,4.998419,0,SSQSW
196737,11:46.8,-6.11E-07,4.998405,0,OAZBI
196738,11:47.5,-5.51E-07,4.998381,0,VKTQH
196739,11:48.3,-8.22E-07,4.998366,0,BJZEN
196740,11:49.0,-6.27E-07,4.998346,0,XUKLV
196741,11:49.7,-7.40E-07,4.998336,0,cDGVZ
196742,11:50.5,-6.20E-07,4.998325,0,DJOOC
196743,11:51.2,-8.39E-07,4.998301,0,VAULD
196744,11:51.9,-6.47E-07,4.998299,0,HRUFc
196745,11:52.6,-8.16E-07,4.998286,0,cXDNP
196746,11:53.4,-6.04E-07,4.998296,0,KABLV
196747,11:54.1,-7.16E-07,4.998282,0,VOAVR
196748,11:54.8,-4.51E-07,4.998414,0,MHLHQ
196749,11:55.6,-6.35E-07,4.998402,0,LVGTF
196750,11:56.3,-6.30E-07,4.998393,0,FKcOC
196751,11:57.0,-4.93E-07,4.998383,0,FaRUU
196752,11:57.8,-6.11E-07,4.998373,0,HBRRb
196753,11:58.5,-6.13E-07,4.998355,0,AGUDI
196754,11:59.2,-7.15E-07,4.998333,0,AAcNH
196755,11:59.9,-8.19E-07,4.998319,0,JDXHO
196756,12:00.7,-6.31E-07,4.998298,0,UVNaN
196757,12:01.4,-7.34E-07,4.998279,0,WEFaT
196758,12:02.1,-7.54E-07,4.998259,0,PLDQR
196759,12:02.9,-6.04E-07,4.99826,0,VDQOU
196760,12:03.6,-5.57E-07,4.99843,0,HaRRO
196761,12:04.3,-8.69E-07,4.998403,0,ALSZX
196762,12:05.1,-4.68E-07,4.998385,0,NPBDV
196763,12:05.8,-6.08E-07,4.998354,0,OADQC
196764,12:06.5,-4.72E-07,4.99834,0,DDWYc
196765,12:07.2,-6.80E-07,4.998327,0,WDGFR
196766,12:08.0,-6.63E-07,4.998318,0,FNWaF
196767,12:08.7,-7.62E-07,4.998302,0,IQFFM
196768,12:09.4,-8.79E-07,4.998296,0,bRZVD
196769,12:10.2,-5.31E-07,4.998279,0,ADNME
196770,12:10.9,-5.83E-07,4.998284,0,JZPbB
196771,12:11.6,-7.95E-07,4.998264,0,VDaLJ
196772,12:12.4,-5.75E-07,4.9983,0,aTaOH
196773,12:13.1,-7.02E-07,4.998378,0,KcNUP
196774,12:13.8,-5.21E-07,4.998389,0,TBGKY
196775,12:14.5,-5.88E-07,4.998364,0,bQGMa
196776,12:15.3,-5.67E-07,4.998353,0,HGWIV
196777,12:16.0,-6.70E-07,4.998315,0,AaCIZ
196778,12:16.7,-8.05E-07,4.998306,0,ABVGG
196779,12:17.5,-8.47E-07,4.998306,0,TKXPD
196780,12:18.2,-4.47E-07,4.998302,0,GQJDQ
196781,12:18.9,-8.80E-07,4.998297,0,XLMBV
196782,12:19.7,-5.98E-07,4.998283,0,RbFNS
196783,12:20.4,-6.55E-07,4.998271,0,IJXGa
196784,12:21.1,-6.39E-07,4.998313,0,GHRER
196785,12:21.8,-6.31E-07,4.998429,0,COVFN
196786,12:22.6,-6.84E-07,4.998389,0,YNKOU
196787,12:23.3,-8.81E-07,4.998374,0,RVAAF
196788,12:24.0,-8.14E-07,4.998356,0,SDcKM
196789,12:24.8,-6.26E-07,4.998337,0,FMIHV
196790,12:25.5,-8.62E-07,4.998326,0,DTPDA
196791,12:26.2,-5.23E-07,4.998317,0,EDUHb
196792,12:27.0,-4.74E-07,4.998306,0,UULIG
196793,12:27.7,-9.19E-07,4.998299,0,GDZKa
196794,12:28.4,-8.48E-07,4.998291,0,AOEDD
196795,12:29.1,-8.03E-07,4.99828,0,ZHaPA
196796,12:29.9,-8.59E-07,4.998263,0,HILGb
196797,12:30.6,-5.57E-07,4.998405,0,SDLGY
196798,12:31.3,-6.57E-07,4.998394,0,YACbb
196799,12:32.1,-6.18E-07,4.998384,0,VJUIQ
196800,12:32.8,-7.13E-07,4.998378,0,QZJBa
196801,12:33.5,-6.05E-07,4.998364,0,VcYTH
196802,12:34.3,-6.59E-07,4.998338,0,ZRabG
196803,12:35.0,-5.60E-07,4.998317,0,AKGLS
196804,12:35.7,-5.79E-07,4.998312,0,BHNVb
196805,12:36.4,-6.14E-07,4.998309,0,NZIGC
196806,12:37.2,-6.85E-07,4.998286,0,FUWbb
196807,12:37.9,-5.05E-07,4.998259,0,bJcKT
196808,12:38.6,-5.90E-07,4.998271,0,MFbVM
196809,12:39.4,-7.09E-07,4.998435,0,FOLcE
196810,12:40.1,-6.03E-07,4.998437,0,XRRKG
196811,12:40.8,-5.89E-07,4.998397,0,HacUR
196812,12:41.6,-7.06E-07,4.998367,0,WNUOQ
196813,12:42.3,-7.29E-07,4.998364,0,CAaJa
196814,12:43.0,-8.99E-07,4.998361,0,ccVCK
196815,12:43.7,-7.57E-07,4.998333,0,TMIHY
196816,12:44.5,-7.66E-07,4.998338,0,NVJJF
196817,12:45.2,-6.36E-07,4.998315,0,YDADK
196818,12:45.9,-7.34E-07,4.998304,0,FXJIX
196819,12:46.7,-6.24E-07,4.998307,0,RGLVV
196820,12:47.4,-7.59E-07,4.998274,0,bLULR
196821,12:48.1,-7.25E-07,4.99842,0,TFbRZ
196822,12:48.9,-7.62E-07,4.998402,0,AZYbH
196823,12:49.6,-7.34E-07,4.998392,0,PAXWY
196824,12:50.3,-7.05E-07,4.998363,0,cRGcb
196825,12:51.0,-8.17E-07,4.998344,0,bFRWL
196826,12:51.8,-7.10E-07,4.998332,0,BLDJV
196827,12:52.5,-7.47E-07,4.998323,0,RMUAS
196828,12:53.2,-6.49E-07,4.998318,0,TWNDA
196829,12:54.0,-4.34E-07,4.998302,0,JZUEX
196830,12:54.7,-6.18E-07,4.998291,0,cHQJC
196831,12:55.4,-6.44E-07,4.998278,0,DJWJN
196832,12:56.2,-5.27E-07,4.99827,0,NGWOG
196833,12:56.9,-5.67E-07,4.998294,0,HWVbW
196834,12:57.6,-6.64E-07,4.99848,0,HDLQH
196835,12:58.3,-7.35E-07,4.998453,0,cDVBO
196836,12:59.1,-6.12E-07,4.998435,0,NMMLB
196837,12:59.8,-6.73E-07,4.998403,0,ZDZJJ
196838,13:00.5,-7.09E-07,4.998411,0,KQVLO
196839,13:01.3,-6.77E-07,4.998406,0,PODCF
196840,13:02.0,-5.19E-07,4.998385,0,SaAbQ
196841,13:02.7,-7.98E-07,4.99837,0,RWVUP
196842,13:03.5,-6.20E-07,4.998339,0,ORcXH
196843,13:04.2,-6.44E-07,4.998337,0,VVOBR
196844,13:04.9,-6.86E-07,4.998332,0,DbTZJ
196845,13:05.6,-6.50E-07,4.998294,0,OLALa
196846,13:06.4,-8.25E-07,4.998277,0,DbaZb
196847,13:07.1,-7.55E-07,4.99825,0,XObPZ
196848,13:07.8,-7.52E-07,4.998234,0,SbBGR
196849,13:08.6,-8.24E-07,4.998235,0,YPRDZ
196850,13:09.3,-8.27E-07,4.998447,0,JRZFE
196851,13:10.0,-7.01E-07,4.998423,0,RAQRY
196852,13:10.8,-8.56E-07,4.998411,0,DFDSM
196853,13:11.5,-6.95E-07,4.998417,0,YKFXB
196854,13:12.2,-6.85E-07,4.998392,0,DLSOV
196855,13:12.9,-7.17E-07,4.998362,0,LLIDA
196856,13:13.7,-7.44E-07,4.998346,0,HMNPO
196857,13:14.4,-8.88E-07,4.998347,0,IQFFN
196858,13:15.1,-8.86E-07,4.998341,0,GMSZc
196859,13:15.9,-8.09E-07,4.998329,0,RBVGY
196860,13:16.6,-5.62E-07,4.998284,0,FHXIP
196861,13:17.3,-7.96E-07,4.998281,0,RAKMM
196862,13:18.1,-7.17E-07,4.998285,0,bRMZa
196863,13:18.8,-7.52E-07,4.998264,0,RDNNO
196864,13:19.5,-8.74E-07,4.998265,0,FUCYc
196865,13:20.2,-7.16E-07,4.998246,0,AGDIS
196866,13:21.0,-6.39E-07,4.998247,0,NEIaP
196867,13:21.7,-7.09E-07,4.998379,0,ACDPc
196868,13:22.4,-7.56E-07,4.998371,0,LDWbc
196869,13:23.2,-5.52E-07,4.998354,0,OXaBb
196870,13:23.9,-8.84E-07,4.998336,0,LCTFN
196871,13:24.6,-6.80E-07,4.998303,0,PGVaD
196872,13:25.4,-7.34E-07,4.998303,0,RRcFJ
196873,13:26.1,-7.60E-07,4.998288,0,RFHAa
196874,13:26.8,-7.93E-07,4.998288,0,GELVX
196875,13:27.5,-6.75E-07,4.998267,0,DYFJK
196876,13:28.3,-7.21E-07,4.998252,0,DcGAC
196877,13:29.0,-7.47E-07,4.998229,0,cLBFX
196878,13:29.7,-6.32E-07,4.998389,0,WCZWN
196879,13:30.5,-6.58E-07,4.998373,0,GQSZA
196880,13:31.2,-6.65E-07,4.998372,0,OIAaF
196881,13:31.9,-9.07E-07,4.998353,0,ABGNK
196882,13:32.7,-7.24E-07,4.998345,0,LMMSC
196883,13:33.4,-5.86E-07,4.99833,0,VCFRV
196884,13:34.1,-8.88E-07,4.998305,0,KJALC
196885,13:34.8,-6.73E-07,4.998268,0,AUSRW
196886,13:35.6,-8.25E-07,4.998247,0,RHGVF
196887,13:36.3,-7.64E-07,4.998256,0,WCYKV
196888,13:37.0,-7.95E-07,4.998257,0,FUFQJ
196889,13:37.8,-7.10E-07,4.998271,0,TNDNU
196890,13:38.5,-7.22E-07,4.998392,0,QAEVU
196891,13:39.2,-6.33E-07,4.998374,0,UPaJU
196892,13:40.0,-6.71E-07,4.998359,0,DUFbJ
196893,13:40.7,-6.87E-07,4.998343,0,aJMGM
196894,13:41.4,-6.71E-07,4.998325,0,DIbUD
196895,13:42.1,-7.07E-07,4.998317,0,NEMKD
196896,13:42.9,-6.23E-07,4.998293,0,HJPVR
196897,13:43.6,-5.11E-07,4.998294,0,FFRQK
196898,13:44.3,-6.46E-07,4.998282,0,LDZFG
196899,13:45.1,-6.62E-07,4.998263,0,cURaV
196900,13:45.8,-6.45E-07,4.998233,0,YIbCB
196901,13:46.5,-7.76E-07,4.998235,0,RGQNR
196902,13:47.3,-6.16E-07,4.998401,0,ZHLPS
196903,13:48.0,-6.51E-07,4.998388,0,KaFUA
196904,13:48.7,-5.10E-07,4.998372,0,UMYHK
196905,13:49.4,-6.30E-07,4.998361,0,IFBFB
196906,13:50.2,-6.48E-07,4.998353,0,THMVH
196907,13:50.9,-5.23E-07,4.998331,0,cOFNI
196908,13:51.6,-6.57E-07,4.998319,0,DTYDc
196909,13:52.4,-5.80E-07,4.998298,0,YaFBF
196910,13:53.1,-7.02E-07,4.998274,0,MKMZM
196911,13:53.8,-6.48E-07,4.99826,0,BMNFY
196912,13:54.6,-5.98E-07,4.998262,0,VJTAJ
196913,13:55.3,-5.52E-07,4.998264,0,QOaAY
196914,13:56.0,-6.02E-07,4.998233,0,KcGKO
196915,13:56.7,-6.99E-07,4.998366,0,BHLGI
196916,13:57.5,-6.24E-07,4.998358,0,ZRQYW
196917,13:58.2,-7.92E-07,4.998366,0,RTTDJ
196918,13:58.9,-7.06E-07,4.998343,0,cSGNS
196919,13:59.7,-7.61E-07,4.998321,0,WQIBQ
196920,14:00.4,-6.97E-07,4.998317,0,BJWSG
196921,14:01.1,-5.39E-07,4.998309,0,UQLJU
196922,14:01.9,-7.16E-07,4.998301,0,PbbDF
196923,14:02.6,-5.68E-07,4.998288,0,ASbKN
196924,14:03.3,-6.75E-07,4.998251,0,ZGUHA
196925,14:04.0,-6.65E-07,4.99827,0,cTaVL
196926,14:04.8,-6.13E-07,4.998255,0,HQXWC
196927,14:05.5,-6.65E-07,4.998437,0,bIVWF
196928,14:06.2,-7.51E-07,4.998419,0,DNQIV
196929,14:07.0,-6.46E-07,4.998378,0,IJFQY
196930,14:07.7,-7.74E-07,4.99836,0,MJSRD
196931,14:08.4,-6.74E-07,4.998376,0,EOJBA
196932,14:09.2,-5.41E-07,4.998372,0,ALVCI
196933,14:09.9,-7.65E-07,4.998341,0,YAPKb
196934,14:10.6,-5.74E-07,4.998325,0,ZWNED
196935,14:11.3,-6.33E-07,4.998307,0,KFQKU
196936,14:12.1,-6.55E-07,4.998309,0,LCNIW
196937,14:12.8,-7.20E-07,4.998294,0,MVHYT
196938,14:13.5,-5.48E-07,4.998284,0,YRPUT
196939,14:14.3,-6.74E-07,4.998264,0,PSRPU
196940,14:15.0,-6.85E-07,4.998262,0,NJZEF
196941,14:15.7,-6.27E-07,4.998249,0,IYaKE
196942,14:16.5,-6.70E-07,4.998445,0,YaBXc
196943,14:17.2,-7.34E-07,4.998405,0,NUFKT
196944,14:17.9,-6.59E-07,4.998421,0,QNMCc
196945,14:18.6,-6.61E-07,4.998403,0,KPUPD
196946,14:19.4,-6.54E-07,4.998371,0,bTHKF
196947,14:20.1,-6.72E-07,4.998363,0,UADMC
196948,14:20.8,-5.96E-07,4.998332,0,abKLN
196949,14:21.6,-7.04E-07,4.998309,0,cFLTG
196950,14:22.3,-5.88E-07,4.998319,0,LVIWB
196951,14:23.0,-5.40E-07,4.998291,0,FRaMO
196952,14:23.8,-7.63E-07,4.998285,0,DcNCR
196953,14:24.5,-7.63E-07,4.998267,0,JHSOJ
196954,14:25.2,-7.31E-07,4.998242,0,acCJR
196955,14:25.9,-5.33E-07,4.998407,0,WaOUO
196956,14:26.7,-6.67E-07,4.998401,0,TFWbF
196957,14:27.4,-6.22E-07,4.998385,0,NTYVE
196958,14:28.1,-6.16E-07,4.998353,0,WDGUb
196959,14:28.9,-4.78E-07,4.998346,0,HFHNW
196960,14:29.6,-5.34E-07,4.998336,0,YJDZa
196961,14:30.3,-5.44E-07,4.998342,0,JRaIQ
196962,14:31.1,-6.30E-07,4.998306,0,JQHQa
196963,14:31.8,-6.64E-07,4.998288,0,PcFHH
196964,14:32.5,-7.64E-07,4.998264,0,NTZAW
196965,14:33.2,-5.75E-07,4.998266,0,RDQOA
196966,14:34.0,-3.95E-07,4.998256,0,XUNEY
196967,14:34.7,-5.41E-07,4.99826,0,XDYbL
196968,14:35.4,-6.57E-07,4.998421,0,XNVcG
196969,14:36.2,-5.88E-07,4.998403,0,DDSKF
196970,14:36.9,-6.28E-07,4.998424,0,IIRUQ
196971,14:37.6,-7.83E-07,4.998393,0,RXTYD
196972,14:38.4,-7.53E-07,4.998368,0,HUPTN
196973,14:39.1,-6.78E-07,4.998364,0,cXNHB
196974,14:39.8,-5.89E-07,4.998341,0,JUVGF
196975,14:40.5,-4.62E-07,4.99834,0,JOPOa
196976,14:41.3,-4.39E-07,4.998329,0,WaVIb
196977,14:42.0,-3.76E-07,4.998278,0,OHGBE
196978,14:42.7,-7.47E-07,4.998279,0,FYVcS
196979,14:43.5,-5.36E-07,4.99827,0,MHQND
196980,14:44.2,-8.87E-07,4.998269,0,PDAOA
196981,14:44.9,-6.48E-07,4.998463,0,VPbZb
196982,14:45.7,-6.71E-07,4.998438,0,MALKK
196983,14:46.4,-5.88E-07,4.998415,0,BcHRI
196984,14:47.1,-5.60E-07,4.998418,0,COHKF
196985,14:47.8,-6.31E-07,4.9984,0,APDSa
196986,14:48.6,-4.94E-07,4.99839,0,YQDUA
196987,14:49.3,-8.26E-07,4.998366,0,LBDGO
196988,14:50.0,-6.36E-07,4.998344,0,PLcGa
196989,14:50.8,-5.69E-07,4.998339,0,YRLLE
196990,14:51.5,-6.39E-07,4.998333,0,FPDbB
196991,14:52.2,-4.90E-07,4.998302,0,KTJWR
196992,14:53.0,-8.54E-07,4.99829,0,DDNTD
196993,14:53.7,-7.12E-07,4.998288,0,JJHAN
196994,14:54.4,-5.47E-07,4.998265,0,OQFaO
196995,14:55.1,-7.65E-07,4.998278,0,UHSBM
196996,14:55.9,-5.45E-07,4.998246,0,ASMab
196997,14:56.6,-5.41E-07,4.998386,0,DGWBV
196998,14:57.3,-7.94E-07,4.998371,0,OacKO
196999,14:58.1,-5.47E-07,4.998364,0,bWbcF
197000,14:58.8,-7.63E-07,4.998365,0,OGZVO
197001,14:59.5,-4.98E-07,4.998333,0,BbccJ
197002,15:00.3,-6.44E-07,4.998331,0,cRXQV
197003,15:01.0,-6.16E-07,4.998313,0,bIQKa
197004,15:01.7,-6.36E-07,4.998302,0,XZHGM
197005,15:02.4,-8.02E-07,4.998293,0,FcDcA
197006,15:03.2,-6.56E-07,4.998269,0,ZFBPN
197007,15:03.9,-7.69E-07,4.998275,0,LGURR
197008,15:04.6,-7.63E-07,4.998252,0,DCCXX
197009,15:05.4,-5.73E-07,4.998397,0,QVDXC
197010,15:06.1,-5.38E-07,4.998391,0,TKRSK
197011,15:06.8,-7.68E-07,4.998393,0,LFFRQ
197012,15:07.6,-7.78E-07,4.998353,0,SPKHO
197013,15:08.3,-6.47E-07,4.998353,0,WJDBF
197014,15:09.0,-7.67E-07,4.998355,0,TRFJH
197015,15:09.7,-6.87E-07,4.998322,0,baDbJ
197016,15:10.5,-4.69E-07,4.998286,0,DRCFU
197017,15:11.2,-6.95E-07,4.998296,0,cOBQU
197018,15:11.9,-6.96E-07,4.998283,0,XKISD
197019,15:12.7,-7.13E-07,4.99827,0,TQYKc
197020,15:13.4,-7.40E-07,4.998261,0,PbNRK
197021,15:14.1,-7.51E-07,4.998221,0,BDWVJ
197022,15:14.9,-4.62E-07,4.998448,0,YPJBE
197023,15:15.6,-6.06E-07,4.998438,0,XRJRR
197024,15:16.3,-7.47E-07,4.998416,0,HRQOS
197025,15:17.0,-7.07E-07,4.998417,0,XKCCH
197026,15:17.8,-6.53E-07,4.998375,0,HAJXU
197027,15:18.5,-8.74E-07,4.998356,0,CDFDN
197028,15:19.2,-8.42E-07,4.998335,0,cRacc
197029,15:20.0,-5.73E-07,4.998343,0,cZbNJ
197030,15:20.7,-7.91E-07,4.99834,0,DNJBW
197031,15:21.4,-7.77E-07,4.99831,0,UacaQ
197032,15:22.2,-7.09E-07,4.998303,0,ZFJEK
197033,15:22.9,-9.74E-07,4.998289,0,XQcQV
197034,15:23.6,-5.72E-07,4.998291,0,ONRDK
197035,15:24.3,-7.71E-07,4.998296,0,bbRHJ
197036,15:25.1,-8.99E-07,4.998255,0,MZNOD
197037,15:25.8,-5.97E-07,4.998246,0,ccMIY
197038,15:26.5,-6.33E-07,4.998405,0,NScaF
197039,15:27.3,-7.34E-07,4.998398,0,ZADOV
197040,15:28.0,-7.26E-07,4.99836,0,cHTAJ
197041,15:28.7,-6.56E-07,4.998351,0,XOYPL
197042,15:29.5,-5.95E-07,4.998308,0,abBRS
197043,15:30.2,-6.90E-07,4.998318,0,OBNRE
197044,15:30.9,-7.59E-07,4.998317,0,LWRDD
197045,15:31.6,-5.78E-07,4.998278,0,XVDFM
197046,15:32.4,-7.83E-07,4.998263,0,HTVCD
197047,15:33.1,-6.19E-07,4.998264,0,HaPDG
197048,15:33.8,-8.71E-07,4.998249,0,cHKPK
197049,15:34.6,-6.15E-07,4.998266,0,GBbcH
197050,15:35.3,-7.76E-07,4.998446,0,EFRDS
197051,15:36.0,-7.70E-07,4.998423,0,JLPFY
197052,15:36.8,-9.77E-07,4.998432,0,IBBAL
197053,15:37.5,-7.96E-07,4.998417,0,AEZGI
197054,15:38.2,-8.12E-07,4.998412,0,LNLZY
197055,15:38.9,-7.14E-07,4.998376,0,WPQXI
197056,15:39.7,-8.17E-07,4.998344,0,VbGFD
197057,15:40.4,-7.54E-07,4.998331,0,VSRIT
197058,15:41.1,-7.05E-07,4.998322,0,ADaOX
197059,15:41.9,-8.44E-07,4.998325,0,YUDKO
197060,15:42.6,-7.78E-07,4.998296,0,BAKOO
197061,15:43.3,-7.16E-07,4.998294,0,aMWRa
197062,15:44.1,-7.75E-07,4.998272,0,LcXcD
197063,15:44.8,-6.35E-07,4.99827,0,cNYXI
197064,15:45.5,-9.76E-07,4.998259,0,HTbbF
197065,15:46.2,-6.47E-07,4.998262,0,aPHGD
197066,15:47.0,-5.91E-07,4.998244,0,OOcIV
197067,15:47.7,-7.75E-07,4.998378,0,KSbKB
197068,15:48.4,-5.99E-07,4.998351,0,bBbEL
197069,15:49.2,-7.38E-07,4.998363,0,bMUOR
197070,15:49.9,-7.95E-07,4.998318,0,SLDGQ
197071,15:50.6,-6.55E-07,4.998322,0,aYZcV
