Record #,Time,Ch 101 (VDC),Ch 102 (VDC),Alarm Output,Signature
393216,02:17.0,-6.99E-07,4.998478,0,LLOIP
393217,02:17.7,-5.09E-07,4.998475,0,bBXXR
393218,02:18.5,-5.50E-07,4.998488,0,RFKVU
393219,02:19.2,-5.85E-07,4.998684,0,bSXIT
393220,02:19.9,-4.47E-07,4.998672,0,NERSE
393221,02:20.7,-5.70E-07,4.998634,0,SbcQC
393222,02:21.4,-3.58E-07,4.998632,0,AXCUL
393223,02:22.1,-5.15E-07,4.9986,0,IVbTX
393224,02:22.9,-5.21E-07,4.998568,0,RRbYc
393225,02:23.6,-4.05E-07,4.998562,0,DcATH
393226,02:24.3,-4.49E-07,4.998552,0,IFWPa
393227,02:25.0,-4.36E-07,4.998534,0,TBDZY
393228,02:25.8,-5.14E-07,4.998528,0,LROOG
393229,02:26.5,-5.52E-07,4.998518,0,UPENM
393230,02:27.2,-6.56E-07,4.998483,0,LbKFR
393231,02:28.0,-5.52E-07,4.998496,0,HNaFN
393232,02:28.7,-5.63E-07,4.99863,0,IKOJJ
393233,02:29.4,-4.52E-07,4.998618,0,VAFRc
393234,02:30.2,-5.36E-07,4.998599,0,GDMGK
393235,02:30.9,-6.84E-07,4.998572,0,YLCXV
393236,02:31.6,-6.26E-07,4.998568,0,OAOGF
393237,02:32.3,-6.04E-07,4.998552,0,aBBYJ
393238,02:33.1,-4.22E-07,4.998553,0,GScXD
393239,02:33.8,-8.59E-07,4.998525,0,WXUXS
393240,02:34.5,-4.13E-07,4.998505,0,TGbJM
393241,02:35.3,-4.03E-07,4.998494,0,TVTMc
393242,02:36.0,-4.73E-07,4.998484,0,AXNXR
393243,02:36.7,-6.33E-07,4.998656,0,UbKKU
393244,02:37.5,-6.25E-07,4.998609,0,NRGIF
393245,02:38.2,-5.52E-07,4.998605,0,ETNKM
393246,02:38.9,-5.91E-07,4.998592,0,TLRRR
393247,02:39.6,-4.63E-07,4.998574,0,AOQFN
393248,02:40.4,-4.71E-07,4.998554,0,aTbBY
393249,02:41.1,-4.41E-07,4.998547,0,cNaLV
393250,02:41.8,-5.87E-07,4.998505,0,HZNFJ
393251,02:42.6,-4.90E-07,4.9985,0,NCTGN
393252,02:43.3,-4.55E-07,4.998488,0,FcLHU
393253,02:44.0,-6.20E-07,4.998468,0,aGHJD
393254,02:44.8,-4.97E-07,4.998637,0,RVYOc
393255,02:45.5,-5.06E-07,4.998609,0,aaADX
393256,02:46.2,-5.39E-07,4.998584,0,KYbXR
393257,02:46.9,-6.61E-07,4.9986,0,BNVDT
393258,02:47.7,-5.69E-07,4.998578,0,OPGZF
393259,02:48.4,-5.21E-07,4.998537,0,DaPID
393260,02:49.1,-4.40E-07,4.998521,0,GQaMP
393261,02:49.9,-6.37E-07,4.998495,0,JRVDY
393262,02:50.6,-5.99E-07,4.998478,0,OcVFa
