Record #,Time,Ch 101 (VDC),Ch 102 (VDC),Alarm Output,Signature
327680,44:55.5,-6.66E-07,4.998506,0,cXGLL
327681,44:56.3,-4.80E-07,4.998487,0,GUBRN
327682,44:57.0,-6.93E-07,4.998473,0,RDGaN
327683,44:57.7,-6.01E-07,4.998458,0,SNGUJ
327684,44:58.4,-7.16E-07,4.998444,0,bXHaS
327685,44:59.2,-7.83E-07,4.998415,0,RVACK
327686,44:59.9,-5.71E-07,4.998419,0,UXBNF
327687,45:00.6,-6.59E-07,4.998416,0,FFbKD
327688,45:01.4,-5.45E-07,4.998414,0,ScDVT
327689,45:02.1,-7.08E-07,4.998417,0,TIXDV
327690,45:02.8,-6.04E-07,4.998385,0,IRDJc
327691,45:03.6,-7.01E-07,4.998574,0,VcGNc
327692,45:04.3,-7.25E-07,4.998562,0,QbHAV
327693,45:05.0,-8.15E-07,4.998553,0,RKXHJ
327694,45:05.7,-8.23E-07,4.998534,0,HJQSB
327695,45:06.5,-7.29E-07,4.998521,0,HAXbD
327696,45:07.2,-7.08E-07,4.998486,0,VDDVW
327697,45:07.9,-7.11E-07,4.998485,0,QTQLR
327698,45:08.7,-3.63E-07,4.998487,0,HbSUP
327699,45:09.4,-8.43E-07,4.998466,0,MCAQa
327700,45:10.1,-7.27E-07,4.99844,0,USGXD
327701,45:10.9,-5.94E-07,4.998436,0,WOUKP
327702,45:11.6,-7.37E-07,4.998438,0,OXJIH
327703,45:12.3,-7.72E-07,4.998414,0,bCJMH
327704,45:13.0,-7.99E-07,4.998402,0,QRTbE
327705,45:13.8,-7.04E-07,4.998389,0,BKVDV
327706,45:14.5,-4.76E-07,4.998529,0,MPbbY
327707,45:15.2,-7.01E-07,4.99854,0,TDDVF
327708,45:16.0,-8.97E-07,4.998523,0,GaTSX
327709,45:16.7,-5.91E-07,4.998505,0,OFYPZ
327710,45:17.4,-7.40E-07,4.998497,0,DJBGJ
327711,45:18.2,-6.82E-07,4.99846,0,cXBcP
327712,45:18.9,-8.01E-07,4.998456,0,bCAKI
327713,45:19.6,-6.89E-07,4.998422,0,DGLTV
327714,45:20.3,-5.92E-07,4.998424,0,BLbDK
327715,45:21.1,-6.04E-07,4.998406,0,bJKZQ
327716,45:21.8,-6.54E-07,4.998393,0,MbaEX
327717,45:22.5,-6.88E-07,4.998396,0,MAFIG
327718,45:23.3,-7.27E-07,4.998385,0,LVVKO
327719,45:24.0,-5.82E-07,4.998556,0,UaLOW
327720,45:24.7,-8.59E-07,4.998522,0,RHRKR
327721,45:25.5,-6.28E-07,4.998495,0,cMYRO
327722,45:26.2,-7.26E-07,4.998477,0,UVKDc
327723,45:26.9,-4.62E-07,4.998496,0,KYJaQ
327724,45:27.6,-7.19E-07,4.998456,0,LGGIY
327725,45:28.4,-6.75E-07,4.998438,0,TODaK
327726,45:29.1,-7.30E-07,4.998409,0,KUUSM
327727,45:29.8,-7.88E-07,4.998409,0,SZDOX
327728,45:30.6,-6.59E-07,4.998406,0,FKOHE
327729,45:31.3,-6.32E-07,4.998381,0,UcIAX
327730,45:32.0,-5.68E-07,4.998468,0,UDVKQ
327731,45:32.8,-6.86E-07,4.998565,0,GFZFJ
327732,45:33.5,-5.10E-07,4.998566,0,VRBWa
327733,45:34.2,-8.05E-07,4.99855,0,QbDXG
327734,45:34.9,-7.91E-07,4.998519,0,aKGVH
327735,45:35.7,-6.93E-07,4.998502,0,HHQSF
327736,45:36.4,-7.62E-07,4.99848,0,NDHND
327737,45:37.1,-8.68E-07,4.998483,0,ADVbA
327738,45:37.9,-6.69E-07,4.998475,0,QHDNN
327739,45:38.6,-8.24E-07,4.998462,0,KXRVc
327740,45:39.3,-9.86E-07,4.998447,0,JFKcU
327741,45:40.1,-7.93E-07,4.998427,0,NUCOM
327742,45:40.8,-6.59E-07,4.99843,0,OOCJD
327743,45:41.5,-7.50E-07,4.998412,0,ALBKL
327744,45:42.2,-7.83E-07,4.998375,0,GQJMZ
327745,45:43.0,-8.44E-07,4.998541,0,VDBDA
327746,45:43.7,-8.44E-07,4.998546,0,aFIOT
327747,45:44.4,-8.58E-07,4.998518,0,GAYLL
327748,45:45.2,-9.22E-07,4.998483,0,FVKbN
327749,45:45.9,-8.85E-07,4.998467,0,GTOHM
327750,45:46.6,-6.72E-07,4.998469,0,PQZLM
327751,45:47.4,-7.00E-07,4.99847,0,JLTGA
327752,45:48.1,-7.61E-07,4.99845,0,YHFXA
327753,45:48.8,-7.56E-07,4.99843,0,RFMYR
327754,45:49.5,-7.23E-07,4.998412,0,RFRNQ
327755,45:50.3,-6.16E-07,4.998412,0,SIFcc
327756,45:51.0,-7.55E-07,4.998404,0,FPHUT
327757,45:51.7,-5.53E-07,4.998385,0,KIIFX
327758,45:52.5,-8.86E-07,4.998513,0,RLATD
327759,45:53.2,-6.41E-07,4.998509,0,IZPCD
327760,45:53.9,-7.80E-07,4.998509,0,NKOTK
